abs_path,rel_path,class
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0000,datasets/dataset/1/0000,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0001,datasets/dataset/1/0001,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0002,datasets/dataset/1/0002,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0003,datasets/dataset/1/0003,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0004,datasets/dataset/1/0004,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0005,datasets/dataset/1/0005,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0006,datasets/dataset/1/0006,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0007,datasets/dataset/1/0007,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0008,datasets/dataset/1/0008,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0009,datasets/dataset/1/0009,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0010,datasets/dataset/1/0010,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0011,datasets/dataset/1/0011,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0012,datasets/dataset/1/0012,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0013,datasets/dataset/1/0013,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0014,datasets/dataset/1/0014,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0015,datasets/dataset/1/0015,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0016,datasets/dataset/1/0016,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0017,datasets/dataset/1/0017,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0018,datasets/dataset/1/0018,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0019,datasets/dataset/1/0019,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0020,datasets/dataset/1/0020,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0021,datasets/dataset/1/0021,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0022,datasets/dataset/1/0022,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0023,datasets/dataset/1/0023,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0024,datasets/dataset/1/0024,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0025,datasets/dataset/1/0025,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0026,datasets/dataset/1/0026,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0027,datasets/dataset/1/0027,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0028,datasets/dataset/1/0028,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0029,datasets/dataset/1/0029,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0030,datasets/dataset/1/0030,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0031,datasets/dataset/1/0031,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0032,datasets/dataset/1/0032,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0033,datasets/dataset/1/0033,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0034,datasets/dataset/1/0034,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0035,datasets/dataset/1/0035,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0036,datasets/dataset/1/0036,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0037,datasets/dataset/1/0037,1
/home/nick/Desktop/Univ/Programming/end_5_lab/datasets/dataset/1/0038,datasets/dataset/1/0038,1
